han	phien_am
臣所見南海黄盖爲日南太守下車以供設不備撾殺主簿仍見驅逐	Thần sở kiến Nam Hải Hoàng Cái vi Nhật Nam Thái thú, hạ xa dĩ cung thiết bất bị, qua sát chủ bạ, nhưng kiến khu trục.
九真太守詹萌爲妻父周京并請大吏	Cửu Chân Thái thú Đam Manh vị thê phụ Chu Kinh tịnh thỉnh đại lại.
酒酣作樂功曹潘歆起舞属京不起歆欲迫強萌怒殺歆	Tửu hàm tác nhạc, Công tào Phan Hâm khởi vũ, chúc Kinh bất khởi, Hâm dục bách cưỡng, Manh nộ sát Hâm.
歆弟率眾攻萌	Hâm đệ suất chúng công Manh.
故交趾太守士燮遣兵討之不克	Cố Giao Chỉ Thái thú Sĩ Nhiếp khiển binh thảo chi bất khắc.
會刺史朱符多以鄕人褒劉彦之徒分作長吏侵漁百姓黄魚一尾牧稻一斛	Hội Thứ sử Chu Phù đa dĩ hương nhân Ngu Bao, Lưu Ngạn chi đồ, phân tác trưởng lại, xâm ngư bách tính, hoàng ngư nhất vĩ, mục đạo nhất hộc.
百姓怨判出攻州郡符走入海	Bách tính oán phán, xuất công châu quận, Phù tẩu nhập hải.
步隲以次鉏治紀綱適定	Bộ Chất dĩ thứ sừ trị, kỷ cương thích định.
後吕岱平士徽亂改置長吏章明王綱威	Hậu Lữ Đại bình Sĩ Huy loạn, cải trí trưởng lại, chương minh vương cương, uy..
加萬里大小承風	gia vạn lí, đại tiểu thừa phong.
由此觀之綏邊撫裔實在其人	Do thử quan chi, tuy biên phủ duệ, thực tại kì nhân.
伯牧之任宜擇清流	Bá mục chi nhiệm, nghi trạch thanh lưu.
荒服之外禍福尤甚	Hoang phục chi ngoại, hoạ phúc vưu thậm.
今交州雖云粗定尙有高凉宿賊其南海蒼梧鬱林珠崖四郡未綏聚作寇盗	Kim Giao Châu tuy vân thô định, thượng hữu Cao Lương túc tặc kì Nam Hải, Thương Ngô, Uất Lâm, Châu Nhai tứ quận vị tuy, tụ tác khấu đạo.
若岱不復南新刺史宜擇精密方畧智計之人以撫按之庶可補緼	Nhược Đại bất phục Nam, tân Thứ sử nghi trạch tinh mật, phương lược trí kế chi nhân, dĩ phủ án chi thứ khả bổ uẩn.
但中人近守常法無奇數異術則郡惡日滋	Đãn trung nhân, cận thủ thường phép, vô kì số dị thuật tắc quận ác nhật tư".
吳王拜岱鎮南將軍進封番禺侯一云封魏郡陵厲公	Ngô Vương bái Đại Trấn Nam tướng quân, tiến phong Phiên Ngung hầu [Nhất vân phong Nguỵ quận Lăng Lệ công].
戊辰漢延熹十一年	Mậu Thìn, [Hán Diên Hi thập nhất niên.
吳永安元年	Ngô Vĩnh An nguyên niên].
九真復攻陷城邑州郡騷動	Cửu Chân phục công hãm thành ấp, châu quận tao động.
吳主以衡陽督軍都尉陵胤一云陵商爲刺使兼校尉	Ngô chủ dĩ Hành Dương đốc quân đô uý Lăng Dận [Nhất vân Lăng Thương] vi Thứ sử kiêm hiệu uý.
胤入境諭以恩信降者三萬餘家州境復清	Dận nhập cảnh, dụ dĩ ân tín, hàng giả tam vạn dư gia, châu cảnh phục thanh.
後九真郡女趙嫗嫗乳長三尺施於背後常乘象頭與敵交戰	Hậu Cửu Chân quận nữ Triệu Ẩu [Ẩu nhũ trường tam xích, thí ư bối hậu, thường thừa tượng đầu dữ địch giao chiến].
聚眾攻掠郡縣	tụ chúng công lược quận huyện.
胤平之	Dận bình chi.
交趾志九真山中有趙妹女子乳長三尺不嫁結黨剽掠郡縣常著金褐齒屣據象頭鬪戰死面爲神	[Giao Chỉ chí: Cửu Chân sơn trung hữu Triệu muội nữ tử, nhũ trường tam xích, bất giá, kết đảng phiêu lược quận huyện, thường trước kim hạt xỉ tỉ, cứ tượng đầu đấu chiến, tử diện vi thần].
癸未漢炎興元年吳永安十六年	Quý Mùi, [Hán Viêm Hưng nguyên niên; Ngô Vĩnh An thập lục niên].
春三月初吳以孫諝爲交州太守諝貪暴爲百姓患	Xuân, tam nguyệt, sơ Ngô dĩ Tôn Tư vi Giao Châu Thái thú, Tư tham bạo, vi bách tính hoạn.
至是吳主遣鄧詢至郡	Chí thị Ngô chủ khiển Đặng Tuân chí quận.
詢又擅調孔雀三十隻送建業	Tuân hựu thiện điều khổng tước tam thập chích tống Kiến Nghiệp.
民憚遠役因謀作亂	Dân đạn viễn dịch nhân mưu tác loạn.
夏四月郡吏吕興殺諝及詢而請太守及兵於晋	Hạ, tứ nguyệt, quận lại Lữ Hưng sát Tư cập Tuân, nhi thỉnh Thái thú cập binh ư Tấn.
按綱目云請吏於魏明年魏禪位干晋則魏亦晋也	[Án Cương mục vân: Thỉnh lại ư Nguỵ, minh niên. Nguỵ thiền vị can Tấn, tắc Nguỵ diệc Tấn dã].
九真日南皆應之	Cửu Chân, Nhật Nam giai ứng chi.
是歲	Thị tuế..
漢亡	Hán vong.
甲申魏主曹奂咸熙元年吳主孫皓元興元年	Giáp Thân, [Nguỵ chủ Tào Hoán Hàm Hi nguyên niên; Ngô chủ Tôn Hạo Nguyên Hưng nguyên niên].
秋七月吳分交州置廣州	Thu, thất nguyệt, Ngô phân Giao Châu, trí Quảng Châu.
時吳已附于晋	Thời Ngô dĩ phụ vu Tấn.
晋以吕興爲安南將軍都督交州諸軍事以南中監軍霍弋遙領交州刺史得以便宜選用長吏	Tấn dĩ Lữ Hưng vi An Nam tướng quân đô đốc Giao Châu chư quân sự, dĩ Nam Trung giám quân Hoắc Dặc dao lĩnh Giao Châu Thứ sử, đắc dĩ tiện nghi tuyển dụng trưởng lại.
弋表爨谷一曰焚谷爲太守率牙門董元王素等將兵助興未至興爲功曹李統所殺	Dặc biểu Thoán Cốc [Nhất viết Phần Cốc] vi Thái thú, suất nha môn Đổng Nguyên, Vương Tố đẳng tương binh trợ Hưng, vị chí Hưng vị công tào Lí Thống sở sát.
谷死之一云谷病卒	Cốc tử chi [Nhất vân Cốc bệnh tốt].
乙酉晋武帝司馬炎泰始元年吳甘露元年	Ất Dậu, [Tấn Vũ Đế Tư Mã Viêm, Thái Thuỷ nguyên niên; Ngô Cam Lộ nguyên niên].
晉帝遣巴西馬融代興	Tấn Đế khiển Ba Tây Mã Dung đại Hưng.
融病卒	Dung bệnh tốt.
弋又遣揵爲陽稷代融爲太守	Dặc hựu khiển Kiện Vi Dương Tắc đại Dung vi Thái thú.
戊子晉太始四年吳寶鼎三年	Mậu Tí, [Tấn Thái Thuỷ tứ niên; Ngô Bảo Đỉnh tam niên].
吳以劉俊爲刺史	Ngô dĩ Lưu Tuấn vi Thứ sử.
俊與大都督修稷將軍顧容前後三攻交州	Tuấn dữ Đại đô đốc Tu Tắc tướng quân Cố Dung tiền hậu tam công Giao Châu.
稷皆拒破之	Tắc giai cự phá chi.
鬱林九真皆附於稷	Uất Lâm, Cửu Chân giai phụ ư Tắc.
稷選將軍毛靈董元攻合浦戰於古城即合浦城也	Tắc tuyển tướng quân Mao Linh, Đổng Nguyên công Hợp Phố, chiến ư Cổ Thành [Tức Hợp Phố thành dã].
大破吳兵殺劉俊修稷餘兵散還合浦稷因表靈爲鬱林太守元爲九真太守	Đại phá Ngô binh, sát Lưu Tuấn, Tu Tắc, dư binh tán hoàn Hợp Phố, Tắc nhân biểu Linh vi Uất Lâm Thái thú, Nguyên vi Cửu Chân Thái thú.
己丑晉泰始五年吳建衡元年	Kỉ Sửu, [Tấn Thái Thuỷ ngũ niên; Ngô Kiến Hành nguyên niên].
冬十月吳遣監軍氾威南將軍薜珝蒼吳太守丹陽陶璜從荆州道監軍李鼎督軍徐存從建安海道皆會合浦以擊稷李鼎一作李朂	Đông, thập nguyệt, Ngô khiển Giám quân Ngu Phiếm, Uy Nam tướng quân Tiết Hủ, Thương Ngô Thái thú Đan Dương Đào Hoàng tòng Kinh Châu đạo; Giám quân Lí Đỉnh, Đốc quân Từ Tồn tòng Kiến An hải đạo, giai hội Hợp Phố dĩ kích Tắc [Lí Đỉnh nhất tác Lí Húc].
辛卯晉泰始七年吳建衡三年	Tân Mão, [Tấn Thái Thuỷ thất niên; Ngô Kiến Hành tam niên].
夏四月氾薜珝陶㱕拒稷戰	Hạ, tứ nguyệt, Ngu Phiếm, Tiết Hủ, Đào Hoàng cự Tắc chiến..
于汾水璜敗退保合浦亡其二將	vu Phần thuỷ, Hoàng bại thoái bảo Hợp Phố, vong kì nhị tướng.
珝怒謂璜曰若自表討賊而䘮二帥其責安在璜曰下官不得先其意諸軍不相順故致敗耳	Hủ nộ vị Hoàng viết: "Nhược tự biểu thảo tặc nhi táng nhị soái, kì trách an tại?" Hoàng viết: "Hạ quan bất đắc tiên kì ý, chư quân bất tương thuận, cố trí bại nhĩ".
珝怒未解欲引軍還	Hủ nộ vị giải, dục dẫn quân hoàn.
是夜璜以兵數百襲董元獲其寶物船戰而歸	Thị dạ, Hoàng dĩ binh sổ bách tập Đổng Nguyên, hoạch kì bảo vật, thuyền chiến nhi quy.
珝廼謝之以璜領交州爲前部都督	Hủ nãi tạ chi, dĩ Hoàng lĩnh Giao Châu vi tiền bộ đô đốc.
璜復從海道出其不意逕至州	Hoàng phục tòng hải đạo, xuất kì bất ý kính chí châu.
元拒之諸將欲戰璜疑斷橋内有伏兵迺别列長㦸於其後	Nguyên cự chi, chư tướng dục chiến, Hoàng nghi đoạn kiều nội hữu phục binh, nãi biệt liệt trưởng kích ư kì hậu.
兵繩接元僞退璜追之伏兵果出	Binh thằng tiếp, Nguyên nguỵ thoái, Hoàng truy chi, phục binh quả xuất.
長㦸逆之大破元等殺元以前所得船貨寶反土物錦數千疋遺扶嚴賊帥良齊	Trường kích nghịch chi, đại phá Nguyên đẳng, sát Nguyên dĩ tiền, sở đắc thuyền hoá bảo phản thổ vật cẩm sổ thiên sơ, di Phù Nghiêm tặc soái Lương Tề.
齊將萬	Tề tương vạn..
餘人助璜	dư nhân trợ Hoàng.
時楊稷以其將王素代元元勇將解系同在城内	Thời, Dương Tắc dĩ kì tướng Vương Tố đại Nguyên, Nguyên dũng tướng Giải Hệ đồng tại thành nội.
璜使弟象爲書與系又使象騎鞀車皷吹導從而行	Hoàng sử đệ Tượng vi thư dữ Hệ, hựu sử Tượng kị đào xa cổ suy, đạo tòng nhi hành.
素等曰彼象尙如此系必有去志	Tố đẳng viết: "Bỉ Tượng thượng như thử, Hệ tất hữu khứ chí".
乃殺系	Nãi sát Hệ.
珝璜遂陷州	Hủ, Hoàng toại hãm châu.
吳因用璜爲刺使	Ngô nhân dụng Hoàng vi Thứ sử.
璜有謀策周窮好施得人心故人人樂爲之用所至有功	Hoàng hữu mưu sách, chu cùng, hảo thí, đắc nhân tâm, cố nhân nhân lạc vi chi dụng, sở chí hữu công.
先是晉帝以楊稷爲交州刺史毛冕爲太守印綏未到而稷冕先已敗死	Tiên thị Tấn Đế dĩ Dương Tắc vi Giao Châu Thứ sử, Mao Miện vi Thái thú, ấn tuy vị đáo nhi Tắc, Miện tiên dĩ bại tử.
因贈稷冕及松能松能無所考并爲關内侯	Nhân tặng Tắc, Miện cập Tùng, Năng [Tùng Năng vô sở khảo] Tịnh vi quan nội hầu.
九真郡功曹李祚保郡内附晉璜遣將攻之不克	Cửu Chân quận Công tào Lí Tộ bảo quận nội phụ Tấn, Hoàng khiển tướng công chi, bất khắc.
祚舅黎桓一云黎明隨軍遣祚降祚乃答曰舅	Tộ cữu Lê Hoàn [Nhất vân Lê Minh] tuỳ quân, khiển Tộ hàng, Tộ nãi đáp viết: "Cữu..
自吳將祚自晉臣惟力是視耳	tự Ngô tướng, Tộ tự Tấn thần, duy lực thị thị nhĩ".
踰時乃拨	Du thời nãi bạt.
史臣吳士連曰守土之臣能以李祚之心爲心可謂忠於所事矣	Sử thần Ngô Sĩ Liên viết: Thủ thổ chi thần, năng dĩ Lí Tộ chi tâm vi tâm, khả vị trung ư sở sự hĩ.
吳主以璜爲刺史持節都督交州諸軍事	Ngô chủ dĩ Hoàng vi Thứ sử trì tiết đô đốc Giao Châu chư quân sự.
前將軍州牧武平九德新昌土地险阻夷獠剄悍歷世不實璜征討平之開置三郡及九郡属國三十餘縣	Tiền tướng quân châu mục Vũ Bình, Cửu Đức, Tân Xương, thổ địa hiểm trở, Di Liêu hĩnh hãn, lịch thế bất thực, Hoàng chinh thảo bình chi, khai trí tam quận, cập Cửu quận thuộc quốc tam thập dư huyện.
吳徵璜爲武昌都督以合浦太守修元代之	Ngô trưng Hoàng vi Vũ Xương đô đốc, dĩ Hợp Phố Thái thú Tu Nguyên đại chi.
土人請留璜以千數於是遣還舊任	Thổ nhân thỉnh lưu Hoàng dĩ thiên sổ, ư thị khiển hoàn cựu nhiệm.
及吳主既降晉手書遣馬息融勅㱕歸順	Cập Ngô chủ ký hàng, Tấn thủ thư khiển Mã Tức Dung sắc Hoàng quy thuận.
㱕流涕數日遣使送印	Hoàng lưu thế sổ nhật, khiển sứ tống ấn..
綬詣洛陽	thụ nghệ Lạc Dương.
晉帝詔復其職封宛陵侯改冠軍將軍	Tấn đế chiếu phục kì chức, phong Uyển Lăng hầu, cải Quán quân tướng quân.
璜在州三十年威惠素著爲殊俗所慕	Hoàng tại châu tam thập niên, uy huệ tố trứ, vi thù tục sở mộ.
及卒舉州啼哭如䘮慈親	Cập tốt, cử châu đề khốc như tang từ thân.
晉帝以員外郎散騎常侍吳彦爲都督刺史	Tấn đế dĩ Viên ngoại lang tán kị thường thị Ngô Ngạn vi Đô đốc thứ sử.
初璜之死九真戍兵作亂逐太守其渠帥趙祉圍郡彦悉平之	Sơ Hoàng chi tử, Cửu Chân thú binh tác loạn, trục Thái thú, kì cừ soái Triệu Chỉ vi quận, Ngạn tất bình chi.
在任二十五年恩威宣著	Tại nhiệm nhị thập ngũ niên, ân uy tuyên trứ.
州民寧靜自表求代晉帝以員外郎散騎常侍顧秘代之	Châu dân ninh tĩnh, tự biểu cầu đại Tấn đế, dĩ Viên ngoại lang tán kị thường thị Cố Bí đại chi.
秘爲人温良純雅舉州愛之未幾卒	Bí vi nhân ôn lương thuần nhã, cử châu ái chi, vị cơ tốt.
州人逼其子參領州事	Châu nhân bức kì tử Tham lĩnh châu sự.
參尋卒弟壽領州事州人不咱	Tham tầm tốt, đệ Thọ lĩnh châu sự, châu nhân bất thính.
壽固求之遂領州事	Thọ cố cầu chi, toại lĩnh châu sự.
迺殺長吏胡肇等又將殺帳	Nãi sát trưởng lại Hồ Triệu đẳng, hựu tương sát trướng..
下督軍梁碩	hạ đốc quân Lương Thạc.
碩走得免起兵討壽擒之	Thạc tẩu đắc miễn, khởi binh thảo Thọ, cầm chi.
壽母令鴆殺之	Thọ mẫu lệnh chấm sát chi.
碩遂專制一云並其母皆鴆殺恐民情不叶乃令璜子蒼吳太守威領刺史	Thạc toại chuyên chế [Nhất vân tịnh kì mẫu giai chậm sát], khủng dân tình bất hiệp, nãi lệnh Hoàng tử Thương Ngô Thái thú Uy lĩnh Thứ sử.
威在職甚得百姓心三十年卒	Uy tại chức thậm đắc bách tính tâm, tam thập niên tốt.
威弟淑子綏相繼爲刺史	Uy đệ Thục, tử Tuy tương kế vi Thứ sử.
自基至綏凡四世並爲刺史	Tự Cơ chí Tuy phàm tứ thế tịnh vi Thứ sử.
基璜之祖父也	Cơ Hoàng chi tổ phụ dã.
戊寅東晉元帝司馬睿大興元年	Mậu Dần, [Đông Tấn Nguyên Đế Tư Mã Duệ, Đại Hưng nguyên niên].
冬十月晉帝詔加廣州刺史陶侃都督交州諸軍事	Đông, thập nguyệt, Tấn Đế chiếu gia Quảng Châu Thứ Sử Đào Khản Đô đốc Giao Châu chư quân sự.
壬午晉永年	Nhâm Ngọ, [Tấn Vĩnh niên].
昌晋王敦以王諒爲刺史使攻梁碩	Xương Tấn Vương Đôn dĩ Vương Lượng vi Thứ sử, sử công Lương Thạc.
碩舉兵圍諒於龍編	Thạc cử binh vi Lượng ư Long Biên.
癸未晋明帝紹太寧元年	Quý Mùi, [Tấn Minh Đế Thiệu, Thái Ninh nguyên niên].
春二月陶侃遣兵救王諒未至梁碩拨龍編	Xuân, nhị nguyệt, Đào Khản khiển binh cứu Vương Lượng, vị chí Lương Thạc bạt Long Biên.
奪諒節諒不與碩斷諒左臂諒曰死且不避斷臂何爲	Đoạt Lượng tiết, Lượng bất dự, Thạc đoạn Lượng tả tí, Lượng viết: "Tử thả bất tị, đoạn tí hà vi?".
逾旬而卒	Du tuần nhi tốt.
碩據州凶暴失眾心	Thạc cứ châu hung bạo, thất chúng tâm.
侃遣參軍高寶攻碩斬之	Khản khiển Tham quân Cao Bảo công Thạc, trảm chi.
晋帝以侃領交州刺史進號征南大將軍開府儀同三司	Tấn Đế dĩ Khản lĩnh Giao Châu Thứ sử, tiến hiệu Chinh Nam đại tướng quân, khai phủ nghi đồng tam ti.
未幾吏部侍郎阮放求爲刺史晋帝許之	Vị cơ Lại bộ thị lang Nguyễn Phóng cầu vi Thứ sử, Tấn Đế hứa chi.
放至寧浦遇寶爲設饌伏兵欲殺之	Phóng chí Ninh Phố ngộ Bảo, vi thiết soạn, phục binh dục sát chi.
寶覺舉兵擊放放咸之	Bảo giác cử binh kích Phóng [Phóng hàm chi.
族子也放走得免至州少時暴頞渴死	tộc tử dã] Phóng tẩu đắc miễn, chí châu thiểu thời bạo át khát tử.
癸丑晋穆帝珊永和九年	Quý Sửu, [Tấn Mục đế San Vĩnh Hoà cửu niên].
春三月晋阮敷爲交州刺史	Xuân, tam nguyệt, Tấn Nguyễn Phu vi Giao Châu Thứ sử.
敷討	Phu thảo..
林邑破五十餘壘	Lâm Ấp phá ngũ thập dư luỹ.
初晋平吳徵交州兵交州刺史陶璜上言曰交州外距林邑繩數千里夷帥范熊世爲逋寇自稱王數攻百姓旦連扶南種類猥多明黨相倚負險不實往隸吳時劫掠良民殺害長吏臣昔爲固國所采編戍在南十有餘年雖剪其魁桀而深山僻穴常有逋竄初臣所統之卒八千南土湿潤多有毒氣累年征討死亡减耗見在二千四百人今四海混同無思不服當卷甲鎖兵令其損約以示單弱夫風塵之變出於非常臣亡國之餘議不足取晋武從之至今猶見其效	[Sơ Tấn bình Ngô, trưng Giao Châu binh, Giao Châu Thứ sử Đào Hoàng thượng ngôn viết: "Giao Châu ngoại cự Lâm Ấp thằng sổ thiên lí. Di soái Phạm Hùng thế vi bô khấu, tự xưng vương, sổ công bách tính. Đãn liên Phù Nam, chủng loại ổi đa, minh đảng tương ỷ, phụ hiểm bất thực vãng lệ. Ngô thời kiếp lược lương dân, sát hại trưởng lại. Thần tích vi cố quốc sở thái, biên thú tại Nam thập hữu dư niên, tuy tiễn kì khôi kiệt, nhi thâm sơn tích huyệt thường hữu bô thoán. Sơ thần sở thống chi tốt bát thiên. Nam thổ thấp nhuận, đa hữu độc khí, luỹ niên chinh thảo, tử vong giảm hao, kiến tại nhị thiên tứ bách nhân. Kim tứ hải hỗn đồng, vô tứ bất phục, đương quyển giáp toả binh, lệnh kì tổn ước, dĩ thị đơn nhược. Phù phong trần chi biến xuất ư phi thường. Thần vong quốc chi dư, nghị bất túc thủ". Tấn Vũ tòng chi, chí kim do kiến kì hiệu].
庚辰晋武帝昌明太元五年	Canh Thìn, [Tấn Vũ Đế Xương Minh, Thái Nguyên ngũ niên].
冬十月九真太守李遜據州反	Đông, thập nguyệt Cửu Chân Thái thú Lí Tốn cứ châu phản.
辛巳晋太元六年	Tân Tị, [Tấn Thái Nguyên lục niên].
交州太守杜瑗斬李遜州境乃平進瑗爲交州刺史	Giao Châu Thái thú Đỗ Viện trảm Lí Tốn châu cảnh nãi bình tiến Viện vi Giao Châu Thứ sử.
瑗我國朱鳶人	Viện ngã quốc Chu Diên nhân.
交趾志著在我國人物類在士王之後	Giao Chỉ Chí trứ tại ngã quốc nhân vật loại tại sĩ vương chi hậu.
己亥晋安帝德宗隆安三年	Kỉ Hợi, [Tấn An Đế Đức Tông, Long An tam niên].
春三月林邑王范胡達陷日南九真遂寇交州	Xuân, tam nguyệt, Lâm Ấp vương Phạm Hồ Đạt hãm Nhật Nam, Cửu Chân, toại khấu Giao Châu.
杜瑗擊破之	Đỗ Viện kích phá chi.
辛亥晉義熙七年	Tân Hợi, [Tấn Nghĩa Hi thất niên].
夏四月永嘉太守盧循來奔	Hạ, tứ nguyệt, Vĩnh Gia Thái thú Lư Tuần lai bôn.
初刺史杜瑗卒或云瑗本属京兆祖元守合浦因居交趾晉帝以其子慧度爲刺史代之	Sơ, Thứ sử Đỗ Viện tốt [Hoặc vân Viện bản thuộc Kinh Triệu, tổ Nguyên thú Hợp Phố, nhân cư Giao Chỉ], Tấn đế dĩ kì tử Tuệ Độ vi Thứ sử đại chi.
詔書未至循攻破合浦逕向交州	Chiếu thư vị chí, Tuần công phá Hợp Phố, kinh hướng Giao Châu.
慧度率州府文武拒循於石𥔎破之	Tuệ Độ suất châu phủ văn vũ cự Tuần ư Thạch Kì, phá chi.
循餘眾猶二千	Tuần dư chúng do nhị thiên.
李遜餘黨李脱等結集俚獠五千餘人以應循庚子至龍編南津	Lí Tốn dư đảng Lí Thoát đẳng kết tập Lí, Lạo ngũ thiên dư nhân dĩ ứng Tuần, Canh Tí chí Long Biên Nam tân.
慧度悉散家財賞軍士與循合戰擲稚尾炬焚其舟艦以步兵夾岸射之	Tuệ Độ tất tán gia tài thưởng quân sĩ, dữ Tuần hợp chiến, trịch trĩ vĩ cự phần kì chu hạm, dĩ bộ binh giáp ngạn xạ chi.
循舟艦俱燃	Tuần chu hạm cụ nhiên..
遂大潰	toại đại hội.
